NMFS_DNA_ID	STATE_F
0	D
T199967	Alaska
T199968	Alaska
T199969	Alaska
T199970	Alaska
T199971	Alaska
T199972	Alaska
T199973	Alaska
T199974	Alaska
T199975	Alaska
T199976	Alaska
T199977	Alaska
T199978	Alaska
T199979	Alaska
T199980	Alaska
T199981	Alaska
T199982	Alaska
T199983	Alaska
T199984	Alaska
T199985	Alaska
T199986	Alaska
T199987	Alaska
T199988	Alaska
T199989	Alaska
T199990	Alaska
T199991	Alaska
T199992	Alaska
T199993	Alaska
T199994	Alaska
T199995	Alaska
T199996	Alaska
T199997	Alaska
T199998	Alaska
T199999	Alaska
T200000	Alaska
T200001	Alaska
T200002	Alaska
T200003	Alaska
T200004	Alaska
T200005	Alaska
T200006	Alaska
T200007	Alaska
T200008	Alaska
T200009	Alaska
T200010	Alaska
T200011	Alaska
T200012	Alaska
T200013	Alaska
T200014	Alaska
T200015	Alaska
T200016	Alaska
T200017	Alaska
T200018	Alaska
T200019	Alaska
T200020	Alaska
T200021	Alaska
T200022	Alaska
T200023	Alaska
T200024	Alaska
T200025	Alaska
T200026	Alaska
T200027	Alaska
T200028	Alaska
T200029	Alaska
T200030	Alaska
T200031	Alaska
T200032	Alaska
T200033	Alaska
T200034	Alaska
T200035	Alaska
T200036	Alaska
T200037	Alaska
T200038	Alaska
T200039	Alaska
T200040	Alaska
T200042	Alaska
T200043	Alaska
T200044	Alaska
T200046	Alaska
T200047	Alaska
T200048	Alaska
T200049	Alaska
T200050	Alaska
T200051	Alaska
T200052	Alaska
T200053	Alaska
T200054	Alaska
T200055	Alaska
T200056	Alaska
T200057	Alaska
T200059	Alaska
T200060	Alaska
T200061	Alaska
T200062	Alaska
T200063	Alaska
T200064	Alaska
T200065	Alaska
T200066	Alaska
T200067	Alaska
T200068	Alaska
T200069	Alaska
T200070	Alaska
T200071	Alaska
T200072	Alaska
T200073	Alaska
T200074	Alaska
T200075	Alaska
T200076	Alaska
T200077	Alaska
T200078	Alaska
T200079	Alaska
T200080	Alaska
T200081	Alaska
T200082	Alaska
T200083	Alaska
T200085	Alaska
T200087	Alaska
T200088	Alaska
T200089	Alaska
T200090	Alaska
T200091	Alaska
T200092	Alaska
T200093	Alaska
T200094	Alaska
T200095	Alaska
T200096	Alaska
T200097	Alaska
T200098	Alaska
T200099	Alaska
T200100	Alaska
T200101	Alaska
T200102	Alaska
T200103	Alaska
T200104	Alaska
T200105	Alaska
T200106	Alaska
T200107	Alaska
T200108	Alaska
T200109	Alaska
T200110	Alaska
T200111	Alaska
T200113	Alaska
T200114	Alaska
T200115	Alaska
T200116	Alaska
T200117	Alaska
T200118	Alaska
T200119	Alaska
T200120	Alaska
T200121	Alaska
T200122	Alaska
T200123	Alaska
T200124	Alaska
T200125	Alaska
T200126	Alaska
T200127	Alaska
T200128	Alaska
T200129	Alaska
T200130	Alaska
T200131	Alaska
T200132	Alaska
T200133	Alaska
T200134	Alaska
T200135	Alaska
T200136	Alaska
T200137	Alaska
T200138	Alaska
T200139	Alaska
T200140	Alaska
T200141	Alaska
T200142	Alaska
T200143	Alaska
T200144	Alaska
T200145	Alaska
T200146	Alaska
T200147	Alaska
T200148	Alaska
T200149	Alaska
T200150	Alaska
T200151	Alaska
T200152	Alaska
T200153	Alaska
T200154	Alaska
T200155	Alaska
T200156	Alaska
T200157	Alaska
T200158	Alaska
T200159	Alaska
T200160	Alaska
T200161	Alaska
T200162	Alaska
T200163	Alaska
T200164	Alaska
T200165	Alaska
T200166	Alaska
T200167	Alaska
T200168	Alaska
T200169	Alaska
T200170	Alaska
T200171	Alaska
T200172	Alaska
T200173	Alaska
T200174	Alaska
T200175	Alaska
T200176	Alaska
T200177	Alaska
T200178	Alaska
T200179	Alaska
T200180	Alaska
T200181	Alaska
T200182	Alaska
T200183	Alaska
T200184	Alaska
T200185	Alaska
T200186	Alaska
T200187	Alaska
T200188	Alaska
T200189	Alaska
T200190	Alaska
T200191	Alaska
T200192	Alaska
T200193	Alaska
T200194	Alaska
T200195	Alaska
T200196	Alaska
T200197	Alaska
T200198	Alaska
T200199	Alaska
T200200	Alaska
T200201	Alaska
T200202	Alaska
T200203	Alaska
T200204	Alaska
T200205	Alaska
T200206	Alaska
T200207	Alaska
T200208	Alaska
T200209	Alaska
T200210	Alaska
T200211	Alaska
T200212	Alaska
T200213	Alaska
T200214	Alaska
T200215	Alaska
