ID	age	sex	cohort	hasSDY
0	B	D	D	B
T199968	1	0	12	1
T199970	1	0	13	0
T199971	1	0	13	0
T199972	1	0	13	0
T199973	1	0	13	0
T199974	1	0	13	0
T199975	1	0	12	0
T199976	1	0	13	0
T199979	1	0	13	1
T199980	1	0	13	0
T199981	1	0	13	0
T199982	1	0	13	0
T199983	1	0	13	0
T199984	1	0	13	0
T199986	1	0	12	0
T199987	1	0	12	0
T199988	1	0	12	0
T199989	1	0	12	0
T199991	0	0	12	1
T199994	0	0	12	1
T200001	0	0	3	0
T200003	1	0	0	0
T200007	1	0	1	0
T200008	1	0	1	0
T200009	1	0	1	0
T200010	1	0	1	0
T200011	1	0	1	0
T200012	0	0	4	1
T200015	1	0	1	0
T200016	1	0	1	0
T200017	1	0	1	1
T200019	1	0	1	1
T200021	1	0	1	1
T200024	0	0	5	1
T200025	1	0	2	1
T200026	0	0	5	0
T200027	0	0	5	1
T200028	0	0	5	1
T200031	0	0	5	1
T200033	1	0	2	0
T200034	1	0	2	0
T200035	1	0	2	0
T200036	0	0	5	1
T200037	0	0	5	1
T200038	0	0	5	1
T200039	0	0	6	1
T200040	1	0	3	0
T200042	1	0	3	0
T200043	0	0	6	1
T200044	0	0	7	1
T200047	1	0	4	0
T200048	1	0	4	0
T200049	0	0	7	1
T200051	1	0	5	0
T200052	1	0	5	0
T200054	0	0	9	1
T200055	0	0	9	1
T200056	1	0	6	0
T200057	1	0	6	0
T200059	0	0	9	1
T200061	1	0	6	0
T200062	0	0	10	1
T200063	1	0	7	0
T200064	1	0	7	0
T200065	0	0	10	1
T200066	0	0	10	1
T200068	0	0	10	0
T200069	0	0	10	1
T200070	0	0	10	1
T200071	1	0	7	0
T200072	0	0	11	1
T200073	0	0	11	1
T200074	0	0	11	1
T200075	0	0	11	1
T200076	0	0	11	1
T200077	0	0	11	1
T200078	1	0	8	0
T200079	0	0	11	1
T200080	0	0	11	1
T200081	0	0	11	1
T200082	0	0	11	1
T200085	0	0	12	1
T200090	0	0	12	1
T200097	0	0	12	0
T200098	0	0	12	0
T200101	0	0	12	1
T200104	1	0	9	1
T200105	0	0	12	1
T200107	0	0	12	0
T200128	0	0	12	1
T200133	0	0	12	1
T200138	1	0	9	1
T200141	0	0	12	1
T200147	0	0	13	1
T200148	0	0	13	1
T200155	0	0	13	1
T200159	0	0	13	1
T200162	1	0	10	0
T200167	0	0	13	1
T200189	0	0	13	1
T200191	1	0	12	0
T200196	1	0	12	0
T200202	1	0	12	0
T200203	1	0	12	1
T200204	1	0	12	0
T200205	1	0	12	0
T200206	1	0	12	0
T200207	1	0	12	1
T200208	1	0	12	1
T200209	1	0	12	0
T200212	1	0	12	0
T200213	1	0	12	0
T200214	0	0	14	1
T200215	1	0	12	0
T200216	1	0	12	0
T200218	0	0	14	1
T200220	1	0	12	0
T200221	1	0	12	0
T200223	1	0	12	0
T200224	1	0	12	0
T200225	1	0	12	0
T200226	1	0	12	0
T200227	1	0	12	0
T200228	1	0	12	0
T200229	1	0	12	0
T200230	1	0	12	1
T200231	1	0	12	1
T200232	1	0	12	0
T200233	1	0	12	1
T200234	1	0	12	0
T200235	1	0	12	0
T200236	0	0	14	1
T200237	1	0	12	1
T200238	1	0	12	0
T200239	1	0	12	0
T200240	1	0	12	0
T200242	1	0	12	0
T200244	1	0	12	0
T200245	1	0	12	0
T200246	1	0	12	1
T200247	1	0	12	1
T200248	1	0	12	0
T200249	1	0	12	0
T200250	1	0	12	1
T200251	1	0	12	0
T200252	1	0	12	0
T200253	1	0	12	0
T200254	1	0	12	0
T200255	1	0	12	0
T200256	1	0	12	1
T200257	1	0	12	0
T200258	1	0	12	0
T200259	1	0	12	0
T200263	0	0	14	0
T200264	1	0	11	1
T200265	0	0	14	0
T200267	0	0	14	0
T200279	1	0	11	0
T200283	0	0	14	1
T200309	0	0	15	1
T200311	1	0	13	1
T200312	1	0	13	0
T200314	0	0	15	1
T200316	1	0	13	0
T200322	1	0	13	0
T200324	1	0	13	0
T200325	0	0	15	1
T200326	1	0	12	0
T200327	1	0	13	0
T200328	1	0	13	0
T200330	1	0	13	0
T200332	1	0	13	1
T200334	1	0	13	0
T200335	1	0	13	0
T200338	1	0	13	0
T200339	1	0	13	0
T200343	1	0	13	1
T200344	1	0	13	0
T200345	1	0	13	0
T200346	1	0	13	1
T200348	1	0	13	0
T200349	1	0	13	0
T200353	1	0	13	0
T200354	1	0	13	0
T200357	1	0	13	0
T200358	1	0	13	0
T200359	1	0	13	0
T200360	1	0	13	0
T200361	1	0	13	0
T200362	1	0	13	0
T200363	1	0	13	1
T200364	1	0	13	0
T200365	1	0	13	0
T200367	1	0	13	0
T200371	1	0	13	1
T200372	1	0	13	1
T200373	1	0	13	0
T200375	1	0	13	0
T200376	1	0	13	0
T200377	1	0	13	0
T200378	1	0	13	1
T200387	1	0	12	0
T200400	1	0	13	0
T200403	1	0	13	0
T200404	1	0	13	0
T200407	1	0	13	1
T200408	0	0	16	1
T200409	1	0	13	0
T200410	1	0	13	0
T200411	0	0	16	1
T200412	0	0	16	1
T200413	1	0	13	0
T200414	1	0	13	1
T200415	1	0	13	1
T200416	1	0	13	0
T200417	1	0	13	0
T200419	0	0	16	1
T200420	1	0	13	0
T200422	1	0	13	1
T200423	1	0	13	0
T200424	1	0	13	1
T200425	1	0	13	0
T200426	1	0	13	1
