ID	age	sex	cohort	hasSDY
0	B	D	D	B
T199968	1	0	12	1
T199969	1	1	13	1
T199979	1	0	13	1
T199990	0	1	12	1
T199991	0	0	12	1
T199992	0	1	12	1
T199993	0	1	12	1
T199994	0	0	12	1
T199995	0	1	12	1
T199996	0	1	12	1
T199997	0	1	12	1
T199998	0	1	12	1
T199999	0	1	12	1
T200004	1	1	0	1
T200005	1	1	1	1
T200012	0	0	4	1
T200017	1	0	1	1
T200018	1	1	1	1
T200019	1	0	1	1
T200020	1	1	1	1
T200021	1	0	1	1
T200023	1	1	1	1
T200024	0	0	5	1
T200025	1	0	2	1
T200027	0	0	5	1
T200028	0	0	5	1
T200029	1	1	2	1
T200031	0	0	5	1
T200032	1	1	2	1
T200036	0	0	5	1
T200037	0	0	5	1
T200038	0	0	5	1
T200039	0	0	6	1
T200043	0	0	6	1
T200044	0	0	7	1
T200046	1	1	4	1
T200049	0	0	7	1
T200050	1	1	4	1
T200054	0	0	9	1
T200055	0	0	9	1
T200059	0	0	9	1
T200060	1	1	6	1
T200062	0	0	10	1
T200065	0	0	10	1
T200066	0	0	10	1
T200069	0	0	10	1
T200070	0	0	10	1
T200072	0	0	11	1
T200073	0	0	11	1
T200074	0	0	11	1
T200075	0	0	11	1
T200076	0	0	11	1
T200077	0	0	11	1
T200079	0	0	11	1
T200080	0	0	11	1
T200081	0	0	11	1
T200082	0	0	11	1
T200083	0	1	12	1
T200085	0	0	12	1
T200088	0	1	12	1
T200089	0	1	12	1
T200090	0	0	12	1
T200091	0	1	12	1
T200092	0	1	12	1
T200093	0	1	12	1
T200094	0	1	12	1
T200095	0	1	12	1
T200096	0	1	12	1
T200099	0	1	12	1
T200100	0	1	12	1
T200101	0	0	12	1
T200102	0	1	12	1
T200103	0	1	12	1
T200104	1	0	9	1
T200105	0	0	12	1
T200106	0	1	12	1
T200108	0	1	12	1
T200109	0	1	12	1
T200110	0	1	12	1
T200111	0	1	12	1
T200113	0	1	12	1
T200114	0	1	12	1
T200115	0	1	12	1
T200116	0	1	12	1
T200117	0	1	12	1
T200118	0	1	12	1
T200119	0	1	12	1
T200120	0	1	12	1
T200121	0	1	12	1
T200122	0	1	12	1
T200123	0	1	12	1
T200124	0	1	12	1
T200125	0	1	12	1
T200126	0	1	12	1
T200127	0	1	12	1
T200128	0	0	12	1
T200129	0	1	12	1
T200130	0	1	12	1
T200131	0	1	12	1
T200132	0	1	12	1
T200133	0	0	12	1
T200134	0	1	12	1
T200135	0	1	12	1
T200136	0	1	12	1
T200137	0	1	12	1
T200138	1	0	9	1
T200139	0	1	13	1
T200140	0	1	13	1
T200141	0	0	12	1
T200142	0	1	13	1
T200143	0	1	13	1
T200144	0	1	13	1
T200145	0	1	13	1
T200146	0	1	13	1
T200147	0	0	13	1
T200148	0	0	13	1
T200149	0	1	13	1
T200150	0	1	13	1
T200151	0	1	13	1
T200152	0	1	13	1
T200153	0	1	13	1
T200154	0	1	13	1
T200155	0	0	13	1
T200156	0	1	13	1
T200157	0	1	13	1
T200158	0	1	13	1
T200159	0	0	13	1
T200160	0	1	13	1
T200161	0	1	13	1
T200163	0	1	13	1
T200164	0	1	13	1
T200165	0	1	13	1
T200166	0	1	13	1
T200167	0	0	13	1
T200168	0	1	13	1
T200169	0	1	13	1
T200170	0	1	13	1
T200171	0	1	13	1
T200172	0	1	13	1
T200173	0	1	13	1
T200174	0	1	13	1
T200175	0	1	13	1
T200176	0	1	13	1
T200177	0	1	13	1
T200178	0	1	14	1
T200179	0	1	13	1
T200181	0	1	13	1
T200182	0	1	13	1
