ID	age	sex	cohort	hasSDY
0	B	D	D	B
T199967	1	1	12	0
T199970	1	0	13	0
T199971	1	0	13	0
T199972	1	0	13	0
T199973	1	0	13	0
T199974	1	0	13	0
T199975	1	0	12	0
T199976	1	0	13	0
T199977	1	1	13	0
T199978	1	1	13	0
T199980	1	0	13	0
T199981	1	0	13	0
T199982	1	0	13	0
T199983	1	0	13	0
T199984	1	0	13	0
T199985	1	1	13	0
T199986	1	0	12	0
T199987	1	0	12	0
T199988	1	0	12	0
T199989	1	0	12	0
T200000	1	1	0	0
T200001	0	0	3	0
T200002	1	1	0	0
T200003	1	0	0	0
T200006	1	1	1	0
T200007	1	0	1	0
T200008	1	0	1	0
T200009	1	0	1	0
T200010	1	0	1	0
T200011	1	0	1	0
T200013	1	1	1	0
T200014	1	1	1	0
T200015	1	0	1	0
T200016	1	0	1	0
T200022	1	1	1	0
T200026	0	0	5	0
T200030	1	1	2	0
T200033	1	0	2	0
T200034	1	0	2	0
T200035	1	0	2	0
T200040	1	0	3	0
T200042	1	0	3	0
T200047	1	0	4	0
T200048	1	0	4	0
T200051	1	0	5	0
T200052	1	0	5	0
T200053	1	1	5	0
T200056	1	0	6	0
T200057	1	0	6	0
T200061	1	0	6	0
T200063	1	0	7	0
T200064	1	0	7	0
T200067	1	1	7	0
T200068	0	0	10	0
T200071	1	0	7	0
T200078	1	0	8	0
T200087	1	1	9	0
T200097	0	0	12	0
T200098	0	0	12	0
T200107	0	0	12	0
T200162	1	0	10	0
T200180	0	1	13	0
T200191	1	0	12	0
T200192	1	1	12	0
T200196	1	0	12	0
T200197	1	1	12	0
T200198	1	1	12	0
T200201	1	1	12	0
T200202	1	0	12	0
T200204	1	0	12	0
T200205	1	0	12	0
T200206	1	0	12	0
T200209	1	0	12	0
T200212	1	0	12	0
T200213	1	0	12	0
T200215	1	0	12	0
T200216	1	0	12	0
T200217	1	1	12	0
T200220	1	0	12	0
T200221	1	0	12	0
T200223	1	0	12	0
T200224	1	0	12	0
T200225	1	0	12	0
T200226	1	0	12	0
T200227	1	0	12	0
T200228	1	0	12	0
T200229	1	0	12	0
T200232	1	0	12	0
T200234	1	0	12	0
T200235	1	0	12	0
T200238	1	0	12	0
T200239	1	0	12	0
T200240	1	0	12	0
T200242	1	0	12	0
T200244	1	0	12	0
T200245	1	0	12	0
T200248	1	0	12	0
T200249	1	0	12	0
T200251	1	0	12	0
T200252	1	0	12	0
T200253	1	0	12	0
T200254	1	0	12	0
T200255	1	0	12	0
T200257	1	0	12	0
T200258	1	0	12	0
T200259	1	0	12	0
T200261	1	1	12	0
T200263	0	0	14	0
T200265	0	0	14	0
T200267	0	0	14	0
T200271	1	1	12	0
T200273	1	1	12	0
T200274	1	1	12	0
T200275	1	1	12	0
T200277	1	1	12	0
T200279	1	0	11	0
T200281	1	1	12	0
T200285	1	1	12	0
T200289	1	1	12	0
T200290	1	1	12	0
T200291	1	1	12	0
T200292	1	1	12	0
T200301	1	1	12	0
T200304	1	1	12	0
T200305	1	1	12	0
T200312	1	0	13	0
T200316	1	0	13	0
T200317	1	1	13	0
T200318	1	1	13	0
T200319	1	1	13	0
T200320	1	1	13	0
T200321	1	1	13	0
T200322	1	0	13	0
T200324	1	0	13	0
T200326	1	0	12	0
T200327	1	0	13	0
T200328	1	0	13	0
T200330	1	0	13	0
T200333	1	1	13	0
T200334	1	0	13	0
T200335	1	0	13	0
T200338	1	0	13	0
T200339	1	0	13	0
T200344	1	0	13	0
T200345	1	0	13	0
T200348	1	0	13	0
T200349	1	0	13	0
T200350	1	1	13	0
T200352	1	1	13	0
T200353	1	0	13	0
T200354	1	0	13	0
T200356	1	1	13	0
T200357	1	0	13	0
T200358	1	0	13	0
T200359	1	0	13	0
T200360	1	0	13	0
T200361	1	0	13	0
T200362	1	0	13	0
T200364	1	0	13	0
T200365	1	0	13	0
T200367	1	0	13	0
T200373	1	0	13	0
T200375	1	0	13	0
T200376	1	0	13	0
T200377	1	0	13	0
T200381	1	1	13	0
T200383	1	1	13	0
T200387	1	0	12	0
T200394	1	1	13	0
T200400	1	0	13	0
T200401	1	1	13	0
T200403	1	0	13	0
T200404	1	0	13	0
T200405	1	1	13	0
T200409	1	0	13	0
T200410	1	0	13	0
T200413	1	0	13	0
T200416	1	0	13	0
T200417	1	0	13	0
T200420	1	0	13	0
T200423	1	0	13	0
T200425	1	0	13	0
