id	chrom	start	stop	angsd_chrom	mh_label
scaff_group001	NC_037097.1	1	96198142	NC-037097.1	1
scaff_group002	NC_037098.1	1	57406636	NC-037098.1	2
scaff_group003	NC_037099.1	1	81079776	NC-037099.1	3
scaff_group004	NC_037100.1	1	74299616	NC-037100.1	4
scaff_group005	NC_037101.1	1	93271540	NC-037101.1	5
scaff_group006	NC_037102.1	1	77009353	NC-037102.1	6
scaff_group007	NC_037103.1	1	86953105	NC-037103.1	7
scaff_group008	NC_037104.1	1	73297397	NC-037104.1	8
scaff_group009	NC_037105.1	1	90872356	NC-037105.1	9
scaff_group010	NC_037106.1	1	60898746	NC-037106.1	10
scaff_group011	NC_037107.1	1	48052637	NC-037107.1	11
scaff_group012	NC_037108.1	1	77127610	NC-037108.1	12
scaff_group013	NC_037109.1	1	75288599	NC-037109.1	13
scaff_group014	NC_037110.1	1	55471129	NC-037110.1	14
scaff_group015	NC_037111.1	1	39428130	NC-037111.1	15
scaff_group016	NC_037112.1	1	70616635	NC-037112.1	16
scaff_group017	NC_037113.1	1	22714575	NC-037113.1	17
scaff_group018	NC_037114.1	1	40412799	NC-037114.1	18
scaff_group019	NC_037115.1	1	55012541	NC-037115.1	19
scaff_group020	NC_037116.1	1	47556325	NC-037116.1	20
scaff_group021	NC_037117.1	1	37043404	NC-037117.1	21
scaff_group022	NC_037118.1	1	41221645	NC-037118.1	22
scaff_group023	NC_037119.1	1	22700843	NC-037119.1	23
scaff_group024	NC_037120.1	1	26611365	NC-037120.1	24
scaff_group025	NC_037121.1	1	39160273	NC-037121.1	25
scaff_group026	NC_037122.1	1	45903566	NC-037122.1	26
scaff_group027	NC_037123.1	1	18375126	NC-037123.1	27
scaff_group029	NC_037125.1	1	34644177	NC-037125.1	29
scaff_group030	NC_037126.1	1	42913752	NC-037126.1	30
scaff_group031	NC_037127.1	1	36717787	NC-037127.1	31
scaff_group032	NC_037128.1	1	13335349	NC-037128.1	32
scaff_group033	NC_037129.1	1	37913358	NC-037129.1	33
scaff_group034	NC_037130.1	1	17226513	NC-037130.1	34
scaff_group035	NW_020128803.1	1	1014811	NW-020128803.1	Unk-35
scaff_group035	NW_020128804.1	1	17919479	NW-020128804.1	Unk-35
scaff_group035	NW_020128805.1	1	5764875	NW-020128805.1	Unk-35
scaff_group035	NW_020128806.1	1	1908022	NW-020128806.1	Unk-35
scaff_group035	NW_020128807.1	1	1185149	NW-020128807.1	Unk-35
scaff_group035	NW_020128808.1	1	1656596	NW-020128808.1	Unk-35
scaff_group035	NW_020128809.1	1	1324739	NW-020128809.1	Unk-35
scaff_group035	NW_020128810.1	1	4267293	NW-020128810.1	Unk-35
scaff_group035	NW_020128811.1	1	4187325	NW-020128811.1	Unk-35
scaff_group036	NW_020128812.1	1	3716579	NW-020128812.1	Unk-36
scaff_group036	NW_020128813.1	1	7171266	NW-020128813.1	Unk-36
scaff_group036	NW_020128814.1	1	7134645	NW-020128814.1	Unk-36
scaff_group036	NW_020128815.1	1	3449792	NW-020128815.1	Unk-36
scaff_group036	NW_020128816.1	1	1652529	NW-020128816.1	Unk-36
scaff_group036	NW_020128817.1	1	3899380	NW-020128817.1	Unk-36
scaff_group036	NW_020128818.1	1	2810351	NW-020128818.1	Unk-36
scaff_group036	NW_020128819.1	1	343973	NW-020128819.1	Unk-36
scaff_group036	NW_020128820.1	1	581683	NW-020128820.1	Unk-36
scaff_group036	NW_020128821.1	1	3810229	NW-020128821.1	Unk-36
scaff_group036	NW_020128822.1	1	296781	NW-020128822.1	Unk-36
scaff_group036	NW_020128823.1	1	1449893	NW-020128823.1	Unk-36
scaff_group036	NW_020128824.1	1	2298271	NW-020128824.1	Unk-36
scaff_group036	NW_020128825.1	1	2497050	NW-020128825.1	Unk-36
scaff_group036	NW_020128826.1	1	1993112	NW-020128826.1	Unk-36
scaff_group037	NW_020128827.1	1	3408967	NW-020128827.1	Unk-37
scaff_group037	NW_020128828.1	1	1320740	NW-020128828.1	Unk-37
scaff_group037	NW_020128829.1	1	1445605	NW-020128829.1	Unk-37
scaff_group037	NW_020128830.1	1	1840495	NW-020128830.1	Unk-37
scaff_group037	NW_020128831.1	1	833585	NW-020128831.1	Unk-37
scaff_group037	NW_020128832.1	1	1210853	NW-020128832.1	Unk-37
scaff_group037	NW_020128833.1	1	1011579	NW-020128833.1	Unk-37
scaff_group037	NW_020128834.1	1	7993431	NW-020128834.1	Unk-37
scaff_group037	NW_020128835.1	1	939523	NW-020128835.1	Unk-37
scaff_group037	NW_020128836.1	1	201296	NW-020128836.1	Unk-37
scaff_group037	NW_020128837.1	1	113094	NW-020128837.1	Unk-37
scaff_group037	NW_020128838.1	1	1764795	NW-020128838.1	Unk-37
scaff_group037	NW_020128839.1	1	2691775	NW-020128839.1	Unk-37
scaff_group037	NW_020128840.1	1	2157862	NW-020128840.1	Unk-37
scaff_group037	NW_020128841.1	1	1528811	NW-020128841.1	Unk-37
scaff_group037	NW_020128842.1	1	2464841	NW-020128842.1	Unk-37
scaff_group037	NW_020128843.1	1	809796	NW-020128843.1	Unk-37
scaff_group037	NW_020128844.1	1	831897	NW-020128844.1	Unk-37
scaff_group037	NW_020128845.1	1	255590	NW-020128845.1	Unk-37
scaff_group037	NW_020128846.1	1	176983	NW-020128846.1	Unk-37
scaff_group037	NW_020128847.1	1	1124030	NW-020128847.1	Unk-37
scaff_group037	NW_020128848.1	1	287814	NW-020128848.1	Unk-37
scaff_group037	NW_020128849.1	1	211094	NW-020128849.1	Unk-37
scaff_group037	NW_020128850.1	1	706267	NW-020128850.1	Unk-37
scaff_group037	NW_020128851.1	1	326679	NW-020128851.1	Unk-37
scaff_group037	NW_020128852.1	1	683807	NW-020128852.1	Unk-37
scaff_group037	NW_020128853.1	1	668231	NW-020128853.1	Unk-37
scaff_group037	NW_020128854.1	1	684453	NW-020128854.1	Unk-37
scaff_group037	NW_020128855.1	1	609691	NW-020128855.1	Unk-37
scaff_group037	NW_020128856.1	1	277302	NW-020128856.1	Unk-37
scaff_group037	NW_020128857.1	1	595869	NW-020128857.1	Unk-37
scaff_group037	NW_020128858.1	1	2679442	NW-020128858.1	Unk-37
scaff_group037	NW_020128859.1	1	207854	NW-020128859.1	Unk-37
scaff_group037	NW_020128860.1	1	495994	NW-020128860.1	Unk-37
scaff_group038	NW_020128861.1	1	588758	NW-020128861.1	Unk-38
scaff_group038	NW_020128862.1	1	1374372	NW-020128862.1	Unk-38
scaff_group038	NW_020128863.1	1	258181	NW-020128863.1	Unk-38
scaff_group038	NW_020128864.1	1	210384	NW-020128864.1	Unk-38
