id	chrom	start	stop	angsd_chrom	mh_label
scaff_grp_0001	NC_056429.1	1	95801903	NC-056429.1	1
scaff_grp_0002	NC_056430.1	1	75537397	NC-056430.1	2
scaff_grp_0003	NC_056431.1	1	81554755	NC-056431.1	3
scaff_grp_0004	NC_056432.1	1	75613410	NC-056432.1	4
scaff_grp_0005	NC_056433.1	1	90317969	NC-056433.1	5
scaff_grp_0006	NC_056434.1	1	80340224	NC-056434.1	6
scaff_grp_0007	NC_056435.1	1	77130101	NC-056435.1	7
scaff_grp_0008	NC_056436.1	1	91267893	NC-056436.1	8
scaff_grp_0009	NC_056437.1	1	86417572	NC-056437.1	9
scaff_grp_0010	NC_056438.1	1	84826039	NC-056438.1	10
scaff_grp_0011	NC_056439.1	1	56679371	NC-056439.1	11
scaff_grp_0012	NC_056440.1	1	75652860	NC-056440.1	12
scaff_grp_0013	NC_056441.1	1	95666326	NC-056441.1	13
scaff_grp_0014	NC_056442.1	1	62516319	NC-056442.1	14
scaff_grp_0015	NC_056443.1	1	41069628	NC-056443.1	15
scaff_grp_0016	NC_056444.1	1	89555470	NC-056444.1	16
scaff_grp_0017	NC_056445.1	1	24928494	NC-056445.1	17
scaff_grp_0018	NC_056446.1	1	46953456	NC-056446.1	18
scaff_grp_0019	NC_056447.1	1	60026146	NC-056447.1	19
scaff_grp_0020	NC_056448.1	1	52270623	NC-056448.1	20
scaff_grp_0021	NC_056449.1	1	44939649	NC-056449.1	21
scaff_grp_0022	NC_056450.1	1	46238377	NC-056450.1	22
scaff_grp_0023	NC_056451.1	1	27813821	NC-056451.1	23
scaff_grp_0024	NC_056452.1	1	34545068	NC-056452.1	24
scaff_grp_0025	NC_056453.1	1	47919032	NC-056453.1	25
scaff_grp_0026	NC_056454.1	1	54312133	NC-056454.1	26
scaff_grp_0027	NC_056455.1	1	21534814	NC-056455.1	27
scaff_grp_0028	NC_056456.1	1	45212454	NC-056456.1	28
scaff_grp_0029	NC_056457.1	1	39891728	NC-056457.1	29
scaff_grp_0030	NC_056458.1	1	52926507	NC-056458.1	30
scaff_grp_0031	NC_056459.1	1	41055135	NC-056459.1	31
scaff_grp_0032	NC_056460.1	1	16871153	NC-056460.1	32
scaff_grp_0033	NC_056461.1	1	50232734	NC-056461.1	33
scaff_grp_0034	NC_056462.1	1	15889890	NC-056462.1	34
scaff_grp_0035	NW_024602205.1	1	225	NW-024602205.1	unk-35
scaff_grp_0035	NW_024602206.1	1	235	NW-024602206.1	unk-35
scaff_grp_0035	NW_024602207.1	1	252	NW-024602207.1	unk-35
scaff_grp_0035	NW_024602208.1	1	255	NW-024602208.1	unk-35
scaff_grp_0035	NW_024602209.1	1	260	NW-024602209.1	unk-35
scaff_grp_0035	NW_024602210.1	1	276	NW-024602210.1	unk-35
scaff_grp_0035	NW_024602211.1	1	279	NW-024602211.1	unk-35
scaff_grp_0035	NW_024602212.1	1	289	NW-024602212.1	unk-35
scaff_grp_0035	NW_024602213.1	1	289	NW-024602213.1	unk-35
scaff_grp_0035	NW_024602214.1	1	294	NW-024602214.1	unk-35
scaff_grp_0035	NW_024602215.1	1	301	NW-024602215.1	unk-35
scaff_grp_0035	NW_024602216.1	1	317	NW-024602216.1	unk-35
scaff_grp_0035	NW_024602217.1	1	319	NW-024602217.1	unk-35
scaff_grp_0035	NW_024602218.1	1	321	NW-024602218.1	unk-35
scaff_grp_0035	NW_024602219.1	1	331	NW-024602219.1	unk-35
scaff_grp_0035	NW_024602220.1	1	333	NW-024602220.1	unk-35
scaff_grp_0035	NW_024602221.1	1	335	NW-024602221.1	unk-35
scaff_grp_0035	NW_024602222.1	1	339	NW-024602222.1	unk-35
scaff_grp_0035	NW_024602223.1	1	343	NW-024602223.1	unk-35
