id	chrom	start	stop	angsd_chrom	mh_label
scaff_group001	NC_037097.1	1	96198142	NC-037097.1	1
scaff_group002	NC_037098.1	1	57406636	NC-037098.1	2
scaff_group003	NC_037099.1	1	81079776	NC-037099.1	3
scaff_group004	NC_037100.1	1	74299616	NC-037100.1	4
scaff_group005	NC_037101.1	1	93271540	NC-037101.1	5
scaff_group006	NC_037102.1	1	77009353	NC-037102.1	6
scaff_group007	NC_037103.1	1	86953105	NC-037103.1	7
scaff_group008	NC_037104.1	1	73297397	NC-037104.1	8
scaff_group009	NC_037105.1	1	90872356	NC-037105.1	9
scaff_group010	NC_037106.1	1	60898746	NC-037106.1	10
scaff_group011	NC_037107.1	1	48052637	NC-037107.1	11
scaff_group012	NC_037108.1	1	77127610	NC-037108.1	12
scaff_group013	NC_037109.1	1	75288599	NC-037109.1	13
scaff_group014	NC_037110.1	1	55471129	NC-037110.1	14
scaff_group015	NC_037111.1	1	39428130	NC-037111.1	15
scaff_group016	NC_037112.1	1	70616635	NC-037112.1	16
scaff_group017	NC_037113.1	1	22714575	NC-037113.1	17
scaff_group018	NC_037114.1	1	40412799	NC-037114.1	18
scaff_group019	NC_037115.1	1	55012541	NC-037115.1	19
scaff_group020	NC_037116.1	1	47556325	NC-037116.1	20
scaff_group021	NC_037117.1	1	37043404	NC-037117.1	21
scaff_group022	NC_037118.1	1	41221645	NC-037118.1	22
scaff_group023	NC_037119.1	1	22700843	NC-037119.1	23
scaff_group024	NC_037120.1	1	26611365	NC-037120.1	24
scaff_group025	NC_037121.1	1	39160273	NC-037121.1	25
scaff_group026	NC_037122.1	1	45903566	NC-037122.1	26
scaff_group027	NC_037123.1	1	18375126	NC-037123.1	27
scaff_group028	NC_037124.1	1	40359125	NC-037124.1	28
scaff_group029	NC_037125.1	1	34644177	NC-037125.1	29
scaff_group030	NC_037126.1	1	42913752	NC-037126.1	30
scaff_group031	NC_037127.1	1	36717787	NC-037127.1	31
scaff_group032	NC_037128.1	1	13335349	NC-037128.1	32
scaff_group033	NC_037129.1	1	37913358	NC-037129.1	33
scaff_group034	NC_037130.1	1	17226513	NC-037130.1	34
