id	chrom	start	stop	angsd_chrom	mh_label
scaff_group0001	NC_048565.1	1	95772356	NC-048565.1	who-cares
scaff_group0002	NC_048566.1	1	103806877	NC-048566.1	who-cares
scaff_group0003	NC_048567.1	1	85311031	NC-048567.1	who-cares
scaff_group0004	NC_048568.1	1	46841314	NC-048568.1	who-cares
scaff_group0005	NC_048569.1	1	100798064	NC-048569.1	who-cares
scaff_group0006	NC_048570.1	1	101096859	NC-048570.1	who-cares
scaff_group0007	NC_048571.1	1	90918291	NC-048571.1	who-cares
scaff_group0008	NC_048572.1	1	91622588	NC-048572.1	who-cares
scaff_group0009	NC_048573.1	1	79455637	NC-048573.1	who-cares
scaff_group0010	NC_048574.1	1	87811138	NC-048574.1	who-cares
scaff_group0011	NC_048575.1	1	86280908	NC-048575.1	who-cares
scaff_group0012	NC_048576.1	1	102853256	NC-048576.1	who-cares
scaff_group0013	NC_048577.1	1	73332040	NC-048577.1	who-cares
scaff_group0014	NC_048578.1	1	43310081	NC-048578.1	who-cares
scaff_group0015	NC_048579.1	1	81569517	NC-048579.1	who-cares
scaff_group0016	NC_048580.1	1	78541548	NC-048580.1	who-cares
scaff_group0017	NC_048581.1	1	95212422	NC-048581.1	who-cares
scaff_group0018	NC_048582.1	1	74657750	NC-048582.1	who-cares
scaff_group0019	NC_048583.1	1	67237266	NC-048583.1	who-cares
scaff_group0020	NC_048584.1	1	46616863	NC-048584.1	who-cares
scaff_group0021	NC_048585.1	1	64935962	NC-048585.1	who-cares
scaff_group0022	NC_048586.1	1	52474311	NC-048586.1	who-cares
scaff_group0023	NC_048587.1	1	62880378	NC-048587.1	who-cares
scaff_group0024	NC_048588.1	1	45930806	NC-048588.1	who-cares
scaff_group0025	NC_048589.1	1	47542702	NC-048589.1	who-cares
scaff_group0026	NC_048590.1	1	51113553	NC-048590.1	who-cares
scaff_group0027	NC_048591.1	1	51556237	NC-048591.1	who-cares
scaff_group0028	NC_048592.1	1	43716683	NC-048592.1	who-cares
scaff_group0029	NC_050570.1	1	46327593	NC-050570.1	who-cares
scaff_group0030	NC_050571.1	1	44108611	NC-050571.1	who-cares
scaff_group0031	NC_050572.1	1	41837469	NC-050572.1	who-cares
scaff_group0032	NC_048593.1	1	47748341	NC-048593.1	who-cares
scaff_group0033	NW_023493657.1	1	4173621	NW-023493657.1	who-cares
scaff_group0033	NW_023493658.1	1	2864942	NW-023493658.1	who-cares
scaff_group0033	NW_023493659.1	1	2745910	NW-023493659.1	who-cares
scaff_group0033	NW_023493660.1	1	1886234	NW-023493660.1	who-cares
scaff_group0033	NW_023493661.1	1	1874749	NW-023493661.1	who-cares
scaff_group0033	NW_023493662.1	1	1797194	NW-023493662.1	who-cares
scaff_group0033	NW_023493663.1	1	1654043	NW-023493663.1	who-cares
scaff_group0033	NW_023493664.1	1	1504970	NW-023493664.1	who-cares
scaff_group0033	NW_023493665.1	1	1484196	NW-023493665.1	who-cares
scaff_group0033	NW_023493666.1	1	1258143	NW-023493666.1	who-cares
scaff_group0033	NW_023493667.1	1	1125905	NW-023493667.1	who-cares
scaff_group0033	NW_023493668.1	1	1079841	NW-023493668.1	who-cares
scaff_group0033	NW_023493669.1	1	996466	NW-023493669.1	who-cares
scaff_group0033	NW_023493670.1	1	928286	NW-023493670.1	who-cares
scaff_group0033	NW_023493671.1	1	920589	NW-023493671.1	who-cares
scaff_group0033	NW_023493672.1	1	888553	NW-023493672.1	who-cares
scaff_group0033	NW_023493673.1	1	880732	NW-023493673.1	who-cares
scaff_group0033	NW_023493674.1	1	871358	NW-023493674.1	who-cares
scaff_group0033	NW_023493675.1	1	858942	NW-023493675.1	who-cares
scaff_group0033	NW_023493676.1	1	856417	NW-023493676.1	who-cares
scaff_group0033	NW_023493677.1	1	844186	NW-023493677.1	who-cares
scaff_group0033	NW_023493678.1	1	817877	NW-023493678.1	who-cares
scaff_group0033	NW_023493679.1	1	813722	NW-023493679.1	who-cares
scaff_group0033	NW_023493680.1	1	802530	NW-023493680.1	who-cares
scaff_group0033	NW_023493681.1	1	721750	NW-023493681.1	who-cares
scaff_group0033	NW_023493682.1	1	677476	NW-023493682.1	who-cares
scaff_group0033	NW_023493683.1	1	673672	NW-023493683.1	who-cares
scaff_group0033	NW_023493684.1	1	666177	NW-023493684.1	who-cares
scaff_group0033	NW_023493685.1	1	631356	NW-023493685.1	who-cares
scaff_group0033	NW_023493686.1	1	624742	NW-023493686.1	who-cares
scaff_group0033	NW_023493687.1	1	614079	NW-023493687.1	who-cares
scaff_group0033	NW_023493688.1	1	586704	NW-023493688.1	who-cares
scaff_group0033	NW_023493689.1	1	585200	NW-023493689.1	who-cares
scaff_group0033	NW_023493690.1	1	581096	NW-023493690.1	who-cares
scaff_group0033	NW_023493691.1	1	579594	NW-023493691.1	who-cares
scaff_group0033	NW_023493692.1	1	571058	NW-023493692.1	who-cares
